"Code injection","Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.","error","This code execution depends on a [[""user-provided value""|""relative:///syntactic_permutations_82/code_row_1.py:1:26:1:32""]].","/syntactic_permutations_82/code_row_1.py","12","21","12","27"
"Code injection","Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.","error","This code execution depends on a [[""user-provided value""|""relative:///syntactic_permutations_82/code_row_10.py:1:26:1:32""]].","/syntactic_permutations_82/code_row_10.py","12","21","12","27"
"Code injection","Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.","error","This code execution depends on a [[""user-provided value""|""relative:///syntactic_permutations_82/code_row_11.py:1:26:1:32""]].","/syntactic_permutations_82/code_row_11.py","12","21","12","27"
"Code injection","Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.","error","This code execution depends on a [[""user-provided value""|""relative:///syntactic_permutations_82/code_row_12.py:1:26:1:32""]].","/syntactic_permutations_82/code_row_12.py","9","21","9","27"
"Code injection","Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.","error","This code execution depends on a [[""user-provided value""|""relative:///syntactic_permutations_82/code_row_13.py:1:26:1:32""]].","/syntactic_permutations_82/code_row_13.py","9","21","9","27"
"Code injection","Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.","error","This code execution depends on a [[""user-provided value""|""relative:///syntactic_permutations_82/code_row_14.py:1:26:1:32""]].","/syntactic_permutations_82/code_row_14.py","12","21","12","27"
"Code injection","Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.","error","This code execution depends on a [[""user-provided value""|""relative:///syntactic_permutations_82/code_row_18.py:1:26:1:32""]].","/syntactic_permutations_82/code_row_18.py","12","21","12","27"
"Code injection","Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.","error","This code execution depends on a [[""user-provided value""|""relative:///syntactic_permutations_82/code_row_19.py:1:26:1:32""]].","/syntactic_permutations_82/code_row_19.py","12","21","12","27"
"Code injection","Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.","error","This code execution depends on a [[""user-provided value""|""relative:///syntactic_permutations_82/code_row_2.py:1:26:1:32""]].","/syntactic_permutations_82/code_row_2.py","12","21","12","27"
"Code injection","Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.","error","This code execution depends on a [[""user-provided value""|""relative:///syntactic_permutations_82/code_row_20.py:1:26:1:32""]].","/syntactic_permutations_82/code_row_20.py","9","21","9","27"
"Code injection","Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.","error","This code execution depends on a [[""user-provided value""|""relative:///syntactic_permutations_82/code_row_22.py:1:26:1:32""]].","/syntactic_permutations_82/code_row_22.py","12","21","12","27"
